,район,parent_id
0,Алтынкульский район,0
1,Андижанский район,0
2,Балыкчинский район,0
3,Бустонский район,0
4,Булакбашинский район,0
5,Жалакудукский район,0
6,Избасканский район,0
7,Улугноpский район,0
8,Кургантепинский район,0
9,Асакинский район,0
10,Мархаматский район,0
11,Шахриханский район,0
12,Пахтаабадский район,0
13,Ходжаабадский район,0
14,Алатский район,1
15,Бухарский район,1
16,Вабкентский район,1
17,Гиждуванский район,1
18,Каганский район,1
19,Каракульский район,1
20,Караулбазарский район,1
21,Пешкунский район,1
22,Ромитанский район,1
23,Жондоpский район,1
24,Шафирканский район,1
25,Арнасайский район,2
26,Бахмальский район,2
27,Галляаральский район,2
28,Шароф Рашидовский район,2
29,Дустликский район,2
30,Зааминский район,2
31,Зарбдарский район,2
32,Мирзачульский район,2
33,Зафарабадский район,2
34,Пахтакорский район,2
35,Фаришский район,2
36,Янгиободский район,2
37,Гузарский район,3
38,Дехканабадский район,3
39,Камашинский район,3
40,Каршинский район,3
41,Касанский район,3
42,Китабский район,3
43,Миришкорский район,3
44,Мубарекский район,3
45,Нишанский район,3
46,Касбинский район,3
47,Кукдалинский район,3
48,Чиракчинский район,3
49,Шахрисабзский район,3
50,Яккабагский район,3
51,Канимехский район,4
52,Кызылтепинский район,4
53,Навбахорский район,4
54,Карманинский район,4
55,Нуратинский район,4
56,Тамдынский район,4
57,Учкудукский район,4
58,Хатырчинский район,4
59,Мингбулакский pайон,5
60,Касансайский район,5
61,Наманганский район,5
62,Нарынский район,5
63,Папский район,5
64,Туракурганский район,5
65,Уйчинский район,5
66,Учкурганский район,5
67,Чартакский район,5
68,Чустский район,5
69,Янгикурганский район,5
70,Акдарьинский район,6
71,Булунгурский район,6
72,Джамбайский район,6
73,Иштыханский район,6
74,Каттакурганский район,6
75,Кошрабадский район,6
76,Нарпайский район,6
77,Пайарыкский район,6
78,Пастдаргомский район,6
79,Пахтачийский район,6
80,Самаркандский район,6
81,Нурабадский район,6
82,Ургутский район,6
83,Тайлякский район,6
84,Алтынсайский район,7
85,Ангорский район,7
86,Бандихонский район,7
87,Байсунский район,7
88,Музрабадский район,7
89,Денауский район,7
90,Джаркурганский район,7
91,Кумкурганский район,7
92,Кизирикский район,7
93,Сариасийский район,7
94,Термезский район,7
95,Узунский район,7
96,Шерабадский район,7
97,Шурчинский район,7
98,Акалтынский район,8
99,Баяутский район,8
100,Сайхунабадский район,8
101,Гулистанский район,8
102,Сардобский район,8
103,Мирзаабадский район,8
104,Сырдарьинский район,8
105,Хавасский район,8
106,Учтепинский район,9
107,Бектемирский район,9
108,Юнусабадский район,9
109,Мирзо-Улугбекский район,9
110,Мирабадский район,9
111,Шайхантахурский район,9
112,Алмазарский район,9
113,Сергелийский район,9
114,Яккасарайский район,9
115,Яшнободский район,9
116,Янгихаётский район,9
117,Чиланзарский район,9
118,Аккурганский район,10
119,Ахангаранский район,10
120,Бекабадский район,10
121,Бостанлыкский район,10
122,Букинский район,10
123,Куйичирчикский район,10
124,Зангиатинский район,10
125,Юкоричирчикский район,10
126,Кибрайский район,10
127,Паркентский район,10
128,Пскентский район,10
129,Уртачирчикский район,10
130,Чиназский район,10
131,Янгиюльский район,10
132,Ташкентский район,10
133,Алтыарыкский район,11
134,Куштепинский район,11
135,Багдадский район,11
136,Бувайдинский район,11
137,Бешарыкский район,11
138,Кувинский район,11
139,Учкуприкский район,11
140,Риштанский район,11
141,Сохский район,11
142,Ташлакский район,11
143,Узбекистанский район,11
144,Ферганский район,11
145,Дангаринский район,11
146,Фуркатский район,11
147,Язъяванский район,11
148,Багатский район,12
149,Гурленский район,12
150,Кошкупырский район,12
151,Ургенчский район,12
152,Хазараспский район,12
153,Тупроккалинский район,12
154,Ханкинский район,12
155,Хивинский район,12
156,Шаватский район,12
157,Янгиарыкский район,12
158,Янгибазарский район,12
159,Амударьинский район,13
160,Берунийский район,13
161,Бозатауский район,13
162,Караузякский район,13
163,Кегейлийский район,13
164,Кунградский район,13
165,Канлыкульский район,13
166,Муйнакский район,13
167,Нукусский район,13
168,Тахиаташский район,13
169,Тахтакупырский район,13
170,Турткульский район,13
171,Ходжейлийский район,13
172,Чимбайский район,13
173,Шуманайский район,13
174,Элликкалинский район,13
175,Город Каттакурган,6
176,Город Алмалык,10
177,Город Бекабад,10
178,Янги Наманганский район,5
179,Город Самарканд,6
180,Давлатабадский район,5
181,Город Нурафшан,10
182,Город Наманган,5
183,Янгихаётский район,9
184,Город Гулистан,8
185,Город Джизак,2
186,Город Нукус,13
187,Город Фергана,11
188,Город Коканд,11
189,Город Кувасай,11
190,Город Карши,3
191,Город Бухара,1
192,Город Термез,7
193,Город Шахрисабз,3
194,Елликкалинский район,13
195,Город Андижан,0
196,Город Ангрен,10
197,Город Чирчик,10
198,Кия-Чирчикский район,10
199,Город Ургенч,12
200,Тупроққалинский район,12
201,Город Зарафшан,4
202,Город Навои,4
203,Город Каган,1
204,Город Учкудук,4
205,Город Маргилан,11
206,Город Янгиюль,10
207,Город Ханабад,0
208,Город Охангарон,10
209,Город Хива,12
210,Город Янгиер,8
211,Город Газган,4
212,Город Ширин,8
